247,Rivals,
School:  Cincinnati Year:  2012 Name:  Kyle Williamson Position:  OT City:  Cincinnati State:  OH Height:  77 Weight:  275 Stars:  3,School:  Navy Year:  2012 Name:  Brad Mills Position:  OL City:  Fort Lauderdale State:  FL Height:  76 Weight:  240 Stars:  0,
School:  Air Force Year:  2012 Name:  Steven Cornellier Position:  WDE City:  Jacksonville State:  FL Height:  75 Weight:  235 Stars:  3,School:  Navy Year:  2012 Name:  Tyler Goble Position:  LB City:  Plymouth State:  MI Height:  72 Weight:  232 Stars:  3,
School:  San Diego State Year:  2012 Name:  Arthur Flores Position:  OT City:  Denver State:  CO Height:  78 Weight:  300 Stars:  3,School:  Navy Year:  2012 Name:  Nick McCrory Position:  LB City:  Port Lavaca State:  TX Height:  73 Weight:  225 Stars:  2,
School:  Wagner Year:  2012 Name:  Eddie Garcia Position:  OC City:  Miami State:  FL Height:  73 Weight:  265 Stars:  3,School:  Navy Year:  2012 Name:  Zander Yost Position:  DB City:  Norcross State:  GA Height:  72 Weight:  189 Stars:  2,
School:  SMU Year:  2012 Name:  Ty Law Position:  CB City:  Orlando State:  FL Height:  70 Weight:  165 Stars:  3,School:  Navy Year:  2012 Name:  Shawn White Position:  DE City:  Palm Coast State:  FL Height:  72 Weight:  245 Stars:  2,
School:  Texas Tech Year:  2012 Name:  Kris Williams Position:  OLB City:  Dallas State:  TX Height:  75 Weight:  208 Stars:  3,School:  Navy Year:  2012 Name:  Andrew Martin Position:  OL City:  Decatur State:  AL Height:  77 Weight:  255 Stars:  0,
School:  Georgia Tech Year:  2012 Name:  Tyler Stargel Position:  ILB City:  Leroy State:  AL Height:  75 Weight:  248 Stars:  3,School:  Navy Year:  2012 Name:  Nick Fabrizio Position:  QB City:  Plant City State:  FL Height:  70 Weight:  160 Stars:  2,
School:  Indiana Year:  2012 Name:  Jacob Bailey Position:  OT City:  Indianapolis State:  IN Height:  76 Weight:  265 Stars:  3,School:  Navy Year:  2012 Name:  E.K. Binns Position:  DT City:  Cape Coral State:  FL Height:  75 Weight:  275 Stars:  2,
School:  Maryland Year:  2012 Name:  Anthony Nixon Position:  WR City:  Pittsburgh State:  PA Height:  73 Weight:  190 Stars:  3,School:  Navy Year:  2012 Name:  Toye Adewon Position:  OL City:  Frisco State:  TX Height:  76 Weight:  285 Stars:  3,
School:  Minnesota Year:  2012 Name:  Nick Rallis Position:  S City:  Minneapolis State:  MN Height:  72 Weight:  210 Stars:  3,School:  Navy Year:  2012 Name:  David Reisner Position:  K City:  South Elgin State:  IL Height:  72 Weight:  200 Stars:  0,
School:  Toledo Year:  2012 Name:  Brian Blackburn Position:  PRO City:  Detroit State:  MI Height:  77 Weight:  212 Stars:  3,School:  Navy Year:  2012 Name:  Cole Wright Position:  TE City:  Fort Myers State:  FL Height:  78 Weight:  225 Stars:  2,
School:  Baylor Year:  2012 Name:  Devin Chafin Position:  RB City:  Burkburnett State:  TX Height:  72 Weight:  205 Stars:  3,School:  Navy Year:  2012 Name:  Garrett Gandy Position:  DT City:  Boerne State:  TX Height:  74 Weight:  250 Stars:  2,
School:  Rutgers Year:  2012 Name:  Delon Stephenson Position:  ATH City:  Parlin State:  NJ Height:  71 Weight:  170 Stars:  3,School:  Navy Year:  2012 Name:  Derek Mann Position:  RB City:  San Antonio State:  TX Height:  72 Weight:  185 Stars:  0,
School:  Vanderbilt Year:  2012 Name:  Torey Agee Position:  SDE City:  Opelika State:  AL Height:  76 Weight:  245 Stars:  3,School:  Navy Year:  2012 Name:  C.J. Williams Position:  DB City:  Towson State:  MD Height:  72 Weight:  206 Stars:  2,
School:  North Carolina Year:  2012 Name:  Jon Heck Position:  OT City:  Jacksonville State:  FL Height:  78 Weight:  280 Stars:  3,School:  Navy Year:  2012 Name:  John Ferguson Position:  OL City:  Denton State:  TX Height:  75 Weight:  245 Stars:  2,
